size,material,print,finish,cut,quantity,price,price_num,timestamp,error
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1,60 ₴,60,2026-04-14T15:52:41.848501,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3,94 ₴,94,2026-04-14T15:52:43.909826,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1,34 ₴,34,2026-04-14T15:52:46.101102,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5,128 ₴,128,2026-04-14T15:52:46.898572,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3,68 ₴,68,2026-04-14T15:52:49.133319,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10,177 ₴,177,2026-04-14T15:52:49.898329,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1,82 ₴,82,2026-04-14T15:52:51.071617,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5,102 ₴,102,2026-04-14T15:52:52.125664,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20,277 ₴,277,2026-04-14T15:52:52.899522,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3,124 ₴,124,2026-04-14T15:52:54.078550,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10,151 ₴,151,2026-04-14T15:52:55.129864,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,30,377 ₴,377,2026-04-14T15:52:55.897930,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1,56 ₴,56,2026-04-14T15:52:56.068544,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1,82 ₴,82,2026-04-14T15:52:56.717033,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5,166 ₴,166,2026-04-14T15:52:57.101120,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,20,251 ₴,251,2026-04-14T15:52:58.121161,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,48,556 ₴,556,2026-04-14T15:52:58.890473,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3,98 ₴,98,2026-04-14T15:52:59.093111,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,3,123 ₴,123,2026-04-14T15:52:59.721176,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10,232 ₴,232,2026-04-14T15:53:00.108425,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,30,351 ₴,351,2026-04-14T15:53:01.111384,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,50,575 ₴,575,2026-04-14T15:53:01.899352,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5,140 ₴,140,2026-04-14T15:53:02.090740,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5,165 ₴,165,2026-04-14T15:53:02.718507,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,20,374 ₴,374,2026-04-14T15:53:03.093090,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,48,530 ₴,530,2026-04-14T15:53:04.131785,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,96,1024 ₴,1024,2026-04-14T15:53:04.898883,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,10,206 ₴,206,2026-04-14T15:53:05.088383,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10,229 ₴,229,2026-04-14T15:53:05.718562,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,30,516 ₴,516,2026-04-14T15:53:06.098718,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,50,549 ₴,549,2026-04-14T15:53:07.117652,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,100,1063 ₴,1063,2026-04-14T15:53:07.910919,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,20,348 ₴,348,2026-04-14T15:53:08.099196,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,20,369 ₴,369,2026-04-14T15:53:08.730054,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,48,769 ₴,769,2026-04-14T15:53:09.094105,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,96,998 ₴,998,2026-04-14T15:53:10.139705,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,150,1538 ₴,1538,2026-04-14T15:53:10.908165,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,30,490 ₴,490,2026-04-14T15:53:11.099458,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,30,508 ₴,508,2026-04-14T15:53:11.729724,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,50,797 ₴,797,2026-04-14T15:53:12.091819,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,100,1037 ₴,1037,2026-04-14T15:53:13.130654,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,200,2001 ₴,2001,2026-04-14T15:53:13.905470,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,48,743 ₴,743,2026-04-14T15:53:14.092339,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,48,758 ₴,758,2026-04-14T15:53:14.726433,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,96,1438 ₴,1438,2026-04-14T15:53:15.102490,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,150,1512 ₴,1512,2026-04-14T15:53:16.127317,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,250,2458 ₴,2458,2026-04-14T15:53:16.900895,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,50,771 ₴,771,2026-04-14T15:53:17.089431,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50,785 ₴,785,2026-04-14T15:53:17.719708,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,100,1493 ₴,1493,2026-04-14T15:53:18.095940,
