size,material,print,finish,cut,quantity,price,price_num,timestamp,error
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1,113 ₴,113,2026-04-14T13:10:21.923288,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3,113 ₴,113,2026-04-14T13:10:24.815614,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1,34 ₴,34,2026-04-14T13:10:26.771003,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1,135 ₴,135,2026-04-14T13:10:28.463923,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5,113 ₴,113,2026-04-14T13:10:27.841711,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1,135 ₴,135,2026-04-14T13:10:28.494778,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,3,135 ₴,135,2026-04-14T13:10:29.812064,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3,34 ₴,34,2026-04-14T13:10:28.811786,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5,135 ₴,135,2026-04-14T13:10:31.172974,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10,113 ₴,113,2026-04-14T13:10:30.507225,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3,135 ₴,135,2026-04-14T13:10:31.093890,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10,135 ₴,135,2026-04-14T13:10:32.529661,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1,56 ₴,56,2026-04-14T13:10:31.535378,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5,34 ₴,34,2026-04-14T13:10:31.853149,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,15,113 ₴,113,2026-04-14T13:10:32.559307,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,15,135 ₴,135,2026-04-14T13:10:33.907012,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5,135 ₴,135,2026-04-14T13:10:33.556901,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3,56 ₴,56,2026-04-14T13:10:33.907777,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10,34 ₴,34,2026-04-14T13:10:33.908393,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,20,176 ₴,176,2026-04-14T13:10:35.267281,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20,147 ₴,147,2026-04-14T13:10:34.918176,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,25,176 ₴,176,2026-04-14T13:10:36.616258,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5,56 ₴,56,2026-04-14T13:10:36.284726,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,15,34 ₴,34,2026-04-14T13:10:36.285372,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10,135 ₴,135,2026-04-14T13:10:36.283988,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50,254 ₴,254,2026-04-14T13:10:37.969432,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25,147 ₴,147,2026-04-14T13:10:37.653900,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,100,338 ₴,338,2026-04-14T13:10:39.329368,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,15,135 ₴,135,2026-04-14T13:10:39.013135,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,10,56 ₴,56,2026-04-14T13:10:39.011257,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,20,68 ₴,68,2026-04-14T13:10:39.012557,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,150,422 ₴,422,2026-04-14T13:10:40.685626,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,50,210 ₴,210,2026-04-14T13:10:40.354529,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,200,506 ₴,506,2026-04-14T13:10:42.053131,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,20,177 ₴,177,2026-04-14T13:10:41.724044,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,15,56 ₴,56,2026-04-14T13:10:41.724993,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,25,68 ₴,68,2026-04-14T13:10:41.725750,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,250,589 ₴,589,2026-04-14T13:10:43.409186,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,100,270 ₴,270,2026-04-14T13:10:43.093242,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,300,672 ₴,672,2026-04-14T13:10:44.768859,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,25,177 ₴,177,2026-04-14T13:10:44.439246,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,50,131 ₴,131,2026-04-14T13:10:44.440471,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,20,98 ₴,98,2026-04-14T13:10:44.439940,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,500,1031 ₴,1031,2026-04-14T13:10:46.132069,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,150,330 ₴,330,2026-04-14T13:10:45.784989,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1000,1873 ₴,1873,2026-04-14T13:10:47.496018,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,25,98 ₴,98,2026-04-14T13:10:47.163516,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,100,191 ₴,191,2026-04-14T13:10:47.162912,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,50,256 ₴,256,2026-04-14T13:10:47.162146,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1200,2193 ₴,2193,2026-04-14T13:10:48.853645,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,200,390 ₴,390,2026-04-14T13:10:48.504712,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1500,2696 ₴,2696,2026-04-14T13:10:50.210531,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,150,251 ₴,251,2026-04-14T13:10:49.879097,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,100,342 ₴,342,2026-04-14T13:10:49.883392,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,50,177 ₴,177,2026-04-14T13:10:49.878380,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1700,3041 ₴,3041,2026-04-14T13:10:51.570298,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,250,450 ₴,450,2026-04-14T13:10:51.256408,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,2000,3520 ₴,3520,2026-04-14T13:10:52.931834,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,150,427 ₴,427,2026-04-14T13:10:52.616873,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,100,263 ₴,263,2026-04-14T13:10:52.617599,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,200,311 ₴,311,2026-04-14T13:10:52.616116,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,2500,4356 ₴,4356,2026-04-14T13:10:54.293927,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,300,510 ₴,510,2026-04-14T13:10:53.961693,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5000,8141 ₴,8141,2026-04-14T13:10:55.656223,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,200,512 ₴,512,2026-04-14T13:10:55.323880,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,150,348 ₴,348,2026-04-14T13:10:55.324533,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,250,371 ₴,371,2026-04-14T13:10:55.325057,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10000,15959 ₴,15959,2026-04-14T13:10:57.007790,
70x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,500,766 ₴,766,2026-04-14T13:10:56.675685,
70x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,25000,39817 ₴,39817,2026-04-14T13:10:58.361366,
70x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,250,597 ₴,597,2026-04-14T13:10:58.044230,
