size,material,print,finish,cut,quantity,price,price_num,timestamp,error
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1,106 ₴,106,2026-04-14T13:51:21.095844,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3,106 ₴,106,2026-04-14T13:51:23.154517,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1,34 ₴,34,2026-04-14T13:51:25.895303,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5,106 ₴,106,2026-04-14T13:51:26.147739,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3,34 ₴,34,2026-04-14T13:51:28.912639,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10,106 ₴,106,2026-04-14T13:51:29.143997,
84x64,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1,128 ₴,128,2026-04-14T13:51:30.383430,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5,34 ₴,34,2026-04-14T13:51:31.930099,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,15,106 ₴,106,2026-04-14T13:51:32.151669,
84x64,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3,128 ₴,128,2026-04-14T13:51:33.400331,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10,34 ₴,34,2026-04-14T13:51:34.921700,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20,106 ₴,106,2026-04-14T13:51:35.158208,
84x64,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1,56 ₴,56,2026-04-14T13:51:35.331266,
84x64,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1,128 ₴,128,2026-04-14T13:51:35.969799,
84x64,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5,128 ₴,128,2026-04-14T13:51:36.388285,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,15,34 ₴,34,2026-04-14T13:51:37.920201,
84x64,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25,140 ₴,140,2026-04-14T13:51:38.156746,
84x64,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3,56 ₴,56,2026-04-14T13:51:38.348008,
