size,material,print,finish,cut,quantity,price,price_num,timestamp,error
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1,60 ₴,60,2026-04-14T11:32:43.837889,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3,60 ₴,60,2026-04-14T11:32:46.728247,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1,34 ₴,34,2026-04-14T11:32:48.657009,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1,82 ₴,82,2026-04-14T11:32:50.351944,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5,94 ₴,94,2026-04-14T11:32:49.768935,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1,82 ₴,82,2026-04-14T11:32:50.384735,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,3,82 ₴,82,2026-04-14T11:32:51.720137,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3,34 ₴,34,2026-04-14T11:32:50.730229,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5,123 ₴,123,2026-04-14T11:32:53.087697,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3,82 ₴,82,2026-04-14T11:32:52.426455,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10,128 ₴,128,2026-04-14T11:32:52.402540,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1,56 ₴,56,2026-04-14T11:32:52.759041,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5,68 ₴,68,2026-04-14T11:32:53.739348,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10,165 ₴,165,2026-04-14T11:32:54.449241,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,15,157 ₴,157,2026-04-14T11:32:55.514220,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5,124 ₴,124,2026-04-14T11:32:55.513536,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10,102 ₴,102,2026-04-14T11:32:56.747973,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3,56 ₴,56,2026-04-14T11:32:55.781559,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,15,201 ₴,201,2026-04-14T11:32:57.516868,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5,98 ₴,98,2026-04-14T11:32:58.742838,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,20,229 ₴,229,2026-04-14T11:32:58.866261,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20,177 ₴,177,2026-04-14T11:32:58.506995,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10,166 ₴,166,2026-04-14T11:32:58.508080,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,15,131 ₴,131,2026-04-14T11:32:58.741859,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,10,140 ₴,140,2026-04-14T11:33:00.097516,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,15,203 ₴,203,2026-04-14T11:33:00.917528,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,20,151 ₴,151,2026-04-14T11:33:01.123524,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,25,285 ₴,285,2026-04-14T11:33:00.237601,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25,217 ₴,217,2026-04-14T11:33:00.915566,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,15,177 ₴,177,2026-04-14T11:33:01.467414,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,25,191 ₴,191,2026-04-14T11:33:02.481624,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50,453 ₴,453,2026-04-14T11:33:02.591429,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,50,337 ₴,337,2026-04-14T11:33:02.996431,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,20,232 ₴,232,2026-04-14T11:33:02.264377,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,100,785 ₴,785,2026-04-14T11:33:03.962992,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,20,206 ₴,206,2026-04-14T11:33:03.822536,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,50,311 ₴,311,2026-04-14T11:33:03.853006,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,150,1142 ₴,1142,2026-04-14T11:33:05.310867,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,25,289 ₴,289,2026-04-14T11:33:04.620644,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,100,575 ₴,575,2026-04-14T11:33:04.354635,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,200,1469 ₴,1469,2026-04-14T11:33:06.666776,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,150,830 ₴,830,2026-04-14T11:33:06.694558,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,50,459 ₴,459,2026-04-14T11:33:06.693803,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,100,549 ₴,549,2026-04-14T11:33:06.340029,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,25,263 ₴,263,2026-04-14T11:33:06.339037,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,250,1820 ₴,1820,2026-04-14T11:33:08.036161,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,300,2140 ₴,2140,2026-04-14T11:33:09.381239,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,50,433 ₴,433,2026-04-14T11:33:09.056991,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,200,1063 ₴,1063,2026-04-14T11:33:09.053927,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,150,804 ₴,804,2026-04-14T11:33:09.056231,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,100,797 ₴,797,2026-04-14T11:33:09.055371,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,500,3454 ₴,3454,2026-04-14T11:33:10.737360,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1000,6536 ₴,6536,2026-04-14T11:33:12.079182,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,150,1161 ₴,1161,2026-04-14T11:33:11.770969,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,100,771 ₴,771,2026-04-14T11:33:11.767818,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,250,1311 ₴,1311,2026-04-14T11:33:11.769155,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,200,1037 ₴,1037,2026-04-14T11:33:11.770150,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1,74 ₴,74,2026-04-14T11:33:14.105596,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,3,118 ₴,118,2026-04-14T11:33:15.465366,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,150,1135 ₴,1135,2026-04-14T11:33:14.452078,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,300,1538 ₴,1538,2026-04-14T11:33:14.453035,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,250,1285 ₴,1285,2026-04-14T11:33:14.453888,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,200,1493 ₴,1493,2026-04-14T11:33:14.451287,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,5,164 ₴,164,2026-04-14T11:33:16.822307,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,10,236 ₴,236,2026-04-14T11:33:18.171918,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,300,1512 ₴,1512,2026-04-14T11:33:17.497234,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,200,1467 ₴,1467,2026-04-14T11:33:17.493586,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,500,2458 ₴,2458,2026-04-14T11:33:17.496168,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,250,1850 ₴,1850,2026-04-14T11:33:17.498186,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,15,330 ₴,330,2026-04-14T11:33:19.544244,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1000,4559 ₴,4559,2026-04-14T11:33:19.573554,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,500,2425 ₴,2425,2026-04-14T11:33:19.567641,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,250,1824 ₴,1824,2026-04-14T11:33:19.572642,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,300,2177 ₴,2177,2026-04-14T11:33:19.574274,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,20,393 ₴,393,2026-04-14T11:33:20.902656,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,25,486 ₴,486,2026-04-14T11:33:22.269088,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,500,3514 ₴,3514,2026-04-14T11:33:21.935564,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,300,2151 ₴,2151,2026-04-14T11:33:21.934883,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1000,4493 ₴,4493,2026-04-14T11:33:21.933914,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,50,860 ₴,860,2026-04-14T11:33:23.629679,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,100,1631 ₴,1631,2026-04-14T11:33:24.978313,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,500,3481 ₴,3481,2026-04-14T11:33:24.650393,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1000,6657 ₴,6657,2026-04-14T11:33:24.649397,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,150,2390 ₴,2390,2026-04-14T11:33:26.326874,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,1,56 ₴,56,2026-04-14T11:33:25.336873,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,200,3137 ₴,3137,2026-04-14T11:33:27.689643,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,3,56 ₴,56,2026-04-14T11:33:27.712417,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1000,6591 ₴,6591,2026-04-14T11:33:27.360680,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,250,3869 ₴,3869,2026-04-14T11:33:29.053629,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,1,88 ₴,88,2026-04-14T11:33:28.059913,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,300,4591 ₴,4591,2026-04-14T11:33:30.399983,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,5,97 ₴,97,2026-04-14T11:33:30.070784,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,500,7354 ₴,7354,2026-04-14T11:33:31.758202,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,1,62 ₴,62,2026-04-14T11:33:30.757430,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,3,88 ₴,88,2026-04-14T11:33:30.437440,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1000,14139 ₴,14139,2026-04-14T11:33:33.102296,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,1,51 ₴,51,2026-04-14T11:33:31.770492,
